Product,ActionSet,Action,Action_Describe,Action_Link
SAS Visual Analytics,accessControl,accessPersonalCaslibs,Provides administrative access to all personal caslibs (CASUSER and CASUSERHDFS),http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-accesspersonalcaslibs.htm&locale=en
SAS Visual Analytics,accessControl,assumeRole,Assumes a role,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-assumerole.htm&locale=en
SAS Visual Analytics,accessControl,checkInAllObjects,Releases all objects that are checked out. Use this action if the current client session does not have a transaction,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-checkinallobjects.htm&locale=en
SAS Visual Analytics,accessControl,checkOutObject,Reserves an object (and all of its children) for update by only the current client session. Prevents an object (and all of its parents) from being checked out exclusively by another session if checkOutType=Shared,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-checkoutobject.htm&locale=en
SAS Visual Analytics,accessControl,commitTransaction,"Persists all changes in an access control transaction to the server, releases all checked-out objects, and terminates the transaction",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-committransaction.htm&locale=en
SAS Visual Analytics,accessControl,completeBackup,Flags a backup as complete,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-completebackup.htm&locale=en
SAS Visual Analytics,accessControl,createBackup,Creates a backup if one is not in progress,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-createbackup.htm&locale=en
SAS Visual Analytics,accessControl,deleteBWList,Deletes a blacklist or a whitelist,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-deletebwlist.htm&locale=en
SAS Visual Analytics,accessControl,dropRole,Relinquishes a role,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-droprole.htm&locale=en
SAS Visual Analytics,accessControl,isAuthorized,Shows whether access is authorized,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorized.htm&locale=en
