Product,ActionSet,ActionSet_Describe,ActionSet_Link,ActionSet_LinkText
SAS Visual Analytics,accessControl,Provides actions for managing user access to resources,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-TblOfActions.htm,Access Control
SAS Visual Analytics,aggregation,Provides actions for aggregating the values of one or more variables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-aggregation-TblOfActions.htm,Aggregation
SAS Visual Analytics,aStore,Provides actions for scoring using an analytic store,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactml&docsetTarget=casactml_astore_toc.htm,Analytic Store Scoring
SAS Visual Analytics,builtins,Provides actions that enable server management,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-TblOfActions.htm,Builtins
SAS Visual Analytics,sccasl,Provides actions for running server-side CASL code,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-sccasl-TblOfActions.htm,CASL Server
SAS Visual Analytics,dataPreprocess,Provides actions for data preprocessing and transformation,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-TblOfActions.htm,Data Preprocess
SAS Visual Analytics,dataStep,Provides actions for running a SAS DATA step,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-datastep-TblOfActions.htm,DATA Step
SAS Visual Analytics,decisionTree,"Provides actions for modeling and scoring with decision trees, forests, and gradient boosting",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-TblOfActions.htm,Decision Tree
SAS Visual Analytics,ds2,Provides actions for preparing and executing DS2 programs,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-ds2-TblOfActions.htm,DS2
SAS Visual Analytics,deduplication,Provides an action for managing rows within groups,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-deduplication-TblOfActions.htm,Duplicate Management
SAS Visual Analytics,espCluster,Provides actions for starting and viewing a cluster of ESP servers,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-espcluster-TblOfActions.htm,ESP Server Cluster
